deleted_symptom_id,disease_id
1,91
1,146
1,177
1,190
1,220
1,234
1,710
1,714
1,1115
1,1124
1,1138
2,4
2,5
2,6
2,7
2,8
2,10
2,11
2,13
2,14
2,17
2,20
2,21
2,23
2,24
2,25
2,27
2,30
2,31
2,32
2,33
2,34
2,35
2,36
2,39
2,41
2,42
2,43
2,44
2,45
2,46
2,47
2,48
2,49
2,50
2,52
2,53
2,56
2,57
2,60
2,61
2,62
2,63
2,68
2,71
2,72
2,73
2,75
2,76
2,77
2,78
2,83
2,84
2,87
2,88
2,89
2,90
2,91
2,92
2,93
2,96
2,97
2,98
2,99
2,100
2,102
2,104
2,105
2,106
2,108
2,110
2,112
2,113
2,115
2,116
2,117
2,118
2,119
2,121
2,122
2,123
2,124
2,125
2,126
2,127
2,129
2,130
2,131
2,132
2,135
2,136
2,137
2,138
2,139
2,140
2,141
2,143
2,145
2,146
2,148
2,150
2,152
2,153
2,155
2,156
2,157
2,158
2,159
2,160
2,162
2,163
2,164
2,165
2,166
2,167
2,168
2,169
2,170
2,171
2,172
2,173
2,175
2,176
2,177
2,178
2,180
2,181
2,182
2,183
2,184
2,185
2,186
2,187
2,188
2,189
2,190
2,191
2,192
2,193
2,194
2,195
2,196
2,198
2,199
2,200
2,201
2,202
2,203
2,204
2,206
2,207
2,208
2,209
2,211
2,212
2,213
2,214
2,215
2,217
2,218
2,219
2,220
2,221
2,222
2,223
2,224
2,225
2,226
2,227
2,228
2,229
2,230
2,231
2,234
2,235
2,236
2,237
2,239
2,240
2,242
2,243
2,246
2,247
2,248
2,249
2,250
2,251
2,252
2,253
2,254
2,255
2,256
2,257
2,258
2,259
2,260
2,261
2,262
2,263
2,264
2,265
2,266
2,267
2,268
2,269
2,270
2,271
2,272
2,273
2,274
2,275
2,276
2,277
2,278
2,279
2,281
2,283
2,284
2,288
2,289
2,290
2,291
2,293
2,294
2,295
2,296
2,297
2,298
2,300
2,301
2,302
2,304
2,305
2,306
2,309
2,312
2,316
2,322
2,323
2,325
2,330
2,331
2,332
2,338
2,339
2,340
2,341
2,342
2,345
2,346
2,350
2,351
2,352
2,361
2,362
2,363
2,364
2,365
2,366
2,367
2,368
2,369
2,370
2,373
2,374
2,376
2,377
2,378
2,381
2,382
2,384
2,385
2,387
2,389
2,398
2,399
2,400
2,402
2,403
2,404
2,405
2,406
2,410
2,411
2,412
2,413
2,414
2,417
2,419
2,421
2,422
2,424
2,426
2,427
2,429
2,432
2,433
2,435
2,445
2,446
2,453
2,457
2,458
2,459
2,460
2,461
2,462
2,467
2,472
2,473
2,474
2,475
2,476
2,477
2,478
2,479
2,483
2,484
2,485
2,487
2,488
2,490
2,491
2,492
2,493
2,494
2,496
2,497
2,498
2,499
2,501
2,502
2,505
2,506
2,507
2,510
2,513
2,517
2,520
2,523
2,524
2,525
2,526
2,527
2,528
2,529
2,530
2,532
2,533
2,534
2,536
2,537
2,538
2,539
2,541
2,545
2,546
2,547
2,557
2,559
2,560
2,565
2,566
2,567
2,569
2,571
2,573
2,574
2,575
2,577
2,578
2,579
2,580
2,582
2,583
2,584
2,585
2,586
2,590
2,591
2,593
2,594
2,602
2,603
2,604
2,605
2,606
2,610
2,611
2,615
2,620
2,621
2,625
2,626
2,627
2,629
2,630
2,632
2,633
2,634
2,636
2,638
2,641
2,642
2,645
2,646
2,647
2,648
2,652
2,654
2,655
2,656
2,660
2,661
2,662
2,664
2,665
2,666
2,667
2,668
2,669
2,670
2,671
2,673
2,676
2,677
2,680
2,681
2,682
2,683
2,684
2,685
2,686
2,687
2,689
2,691
2,692
2,693
2,697
2,698
2,699
2,701
2,702
2,703
2,704
2,705
2,707
2,709
2,710
2,711
2,712
2,713
2,714
2,715
2,721
2,723
2,724
2,725
2,728
2,730
2,731
2,732
2,734
2,738
2,740
2,743
2,747
2,748
2,751
2,755
2,757
2,763
2,764
2,765
2,766
2,767
2,768
2,771
2,772
2,773
2,774
2,775
2,780
2,781
2,782
2,783
2,784
2,785
2,786
2,787
2,788
2,789
2,790
2,791
2,792
2,793
2,794
2,798
2,799
2,802
2,803
2,804
2,805
2,806
2,809
2,813
2,814
2,816
2,818
2,822
2,823
2,824
2,825
2,827
2,828
2,830
2,831
2,833
2,834
2,835
2,837
2,838
2,839
2,841
2,842
2,843
2,844
2,847
2,848
2,850
2,851
2,852
2,853
2,855
2,859
2,863
2,864
2,865
2,866
2,867
2,869
2,870
2,871
2,872
2,873
2,874
2,875
2,878
2,879
2,880
2,881
2,884
2,885
2,887
2,888
2,889
2,890
2,893
2,895
2,896
2,900
2,901
2,903
2,904
2,905
2,906
2,907
2,908
2,909
2,910
2,911
2,912
2,913
2,914
2,915
2,916
2,918
2,919
2,920
2,921
2,923
2,924
2,925
2,926
2,927
2,928
2,929
2,930
2,931
2,935
2,936
2,939
2,941
2,943
2,944
2,948
2,949
2,952
2,954
2,956
2,957
2,958
2,961
2,962
2,964
2,965
2,966
2,970
2,971
2,972
2,973
2,974
2,975
2,977
2,979
2,980
2,981
2,982
2,986
2,987
2,991
2,992
2,994
2,996
2,997
2,998
2,1001
2,1002
2,1004
2,1005
2,1006
2,1008
2,1009
2,1010
2,1011
2,1012
2,1013
2,1017
2,1018
2,1019
2,1020
2,1021
2,1022
2,1025
2,1026
2,1027
2,1028
2,1032
2,1035
2,1036
2,1037
2,1038
2,1040
2,1048
2,1050
2,1061
2,1062
2,1063
2,1064
2,1065
2,1066
2,1075
2,1080
2,1084
2,1085
2,1086
2,1087
2,1089
2,1090
2,1091
2,1092
2,1094
2,1096
2,1098
2,1100
2,1101
2,1102
2,1103
2,1104
2,1107
2,1108
2,1110
2,1111
2,1112
2,1113
2,1114
2,1115
2,1116
2,1117
2,1118
2,1119
2,1120
2,1121
2,1122
2,1124
2,1126
2,1128
2,1130
2,1132
2,1133
2,1135
2,1136
2,1137
2,1138
2,1139
2,1140
2,1141
2,1142
2,1144
2,1164
2,1165
2,1166
2,1167
2,1168
2,1169
2,1172
2,1173
4,5
6,11
6,977
10,5
10,34
10,45
10,71
10,78
10,115
10,118
10,121
10,123
10,124
10,129
10,131
10,146
10,157
10,175
10,177
10,185
10,196
10,209
10,252
10,254
10,256
10,262
10,288
10,293
10,297
10,330
10,339
10,345
10,365
10,368
10,369
10,374
10,376
10,385
10,389
10,483
10,656
10,661
10,662
10,664
10,665
10,667
10,669
10,670
10,671
10,676
10,677
10,681
10,684
10,685
10,707
10,723
10,724
10,725
10,730
10,732
10,771
10,780
10,825
10,873
10,893
10,895
10,949
10,1021
10,1087
10,1092
10,1100
10,1115
10,1121
10,1126
10,1132
10,1136
10,1139
10,1165
10,1169
82,127
82,150
82,155
82,250
82,273
82,284
82,388
82,412
82,501
82,802
82,825
82,875
82,949
82,1018
82,1019
94,209
94,258
94,322
94,536
130,141
130,269
130,459
130,1012
156,8
156,923
158,422
198,6
198,7
198,163
198,1124
198,1138
206,8
214,8
214,106
218,8
218,106
218,167
218,168
218,366
218,586
218,588
218,605
218,880
220,4
220,8
220,11
220,23
220,34
220,39
220,45
220,63
220,71
220,83
220,84
220,88
220,91
220,106
220,123
220,140
220,141
220,143
220,146
220,168
220,176
220,177
220,178
220,186
220,196
220,199
220,202
220,206
220,209
220,215
220,218
220,219
220,221
220,223
220,225
220,235
220,237
220,246
220,248
220,250
220,251
220,259
220,322
220,352
220,406
220,412
220,472
220,483
220,505
220,536
220,578
220,620
220,625
220,634
220,638
220,687
220,702
220,705
220,710
220,793
220,822
220,823
220,825
220,843
220,847
220,907
220,918
220,943
220,949
220,1075
220,1115
220,1116
220,1121
220,1128
220,1138
220,1140
220,1167
220,1172
220,1173
228,11
244,24
244,160
244,202
244,426
244,780
244,906
244,982
244,1005
244,1006
248,24
248,425
248,982
250,24
250,793
250,1021
254,25
254,376
254,384
254,1028
272,42
282,25
282,71
282,117
282,150
282,339
282,947
282,998
282,1028
290,852
304,34
304,91
304,92
304,159
304,165
304,377
304,492
304,765
304,790
304,899
304,1115
304,1142
304,1166
346,34
346,45
346,91
346,118
346,170
346,176
346,177
346,184
346,186
346,225
346,240
346,262
346,533
346,792
358,246
364,10
364,34
364,159
364,164
364,165
364,175
364,209
364,218
364,246
364,410
364,415
364,825
372,48
374,23
374,48
374,78
374,162
374,330
380,49
380,185
380,228
384,49
416,414
440,60
442,962
474,71
474,129
474,567
474,912
474,914
474,936
474,1011
474,1039
474,1113
476,71
476,911
480,123
480,172
480,192
480,723
480,725
480,734
480,895
490,793
490,903
490,914
504,924
520,163
520,501
524,34
524,36
524,75
524,76
524,78
524,115
524,116
524,146
524,163
524,172
524,225
524,227
524,291
524,389
524,403
524,425
524,472
524,477
524,478
524,491
524,499
524,804
524,949
524,976
526,56
526,131
526,364
526,414
526,532
526,537
526,545
526,567
526,998
540,53
540,77
540,100
540,118
540,122
540,123
540,139
540,141
540,146
540,200
540,202
540,479
540,485
540,492
540,493
540,494
540,496
540,499
540,502
540,507
540,517
540,523
540,527
540,531
540,545
540,557
540,680
540,681
540,730
540,804
540,956
540,1020
